FID,My_FID4,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Type2,References,Type_URL,Time_span,X,Y
33,107,Guamantla,Huamantla;Quamantla;San Luis Quamantla;San Luis Huamantla,Huamantla,1, ,Pueblo,353,Depends on, ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.92333333,19.31138889
27,109,Guatemala,Quauhtemallan;Guatimalla,Antigua Guatemala,1, , ,0, , ,Acuña 1984;Google Maps,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-90.73486111,14.54983333
82,110,Guaxacac,Oaxaca;Quaxacac,Oaxaca De Juarez,1, , ,0, , ,Acuña 1984;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-96.72190157,17.0605374
166,111,Las Higüeras, ,Honduras,1,XXX, ,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-87.92854,15.82541
243,112,Hotlatla, ,Otlatlán,1, ,Pueblo,0, , ,Acuña 1984;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-97.939173,19.854861
187,114,Huapacalco, ,Santa Apolonia Teacalco,2, ,Pueblo,0, , ,Acuña 1984;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.309438,19.237348
172,116,Huastepeque, ,Oaxtepec,1, ,Town,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.97027778,18.90638889
171,117,Huehuetlan, ,Huehuetlan,1, ,Pueblo,0, , ,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.16725219,18.73766813
242,118,Huehueychocayan,Hueyichocayan,Huehuechocan,2, , ,0, , ,Acuña 1984;Suarez 2004,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.316755,19.749834
0,119,Huexotzinco, ,Huejotzingo,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.40611111,19.16
288,120,Ávalos, ,Sayula,1, , ,0, , ,Acuña 1987;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-103.6005556,19.88277778
56,121,Hueyotlipan, ,Hueyotlipan,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-98.34583333,19.46861111
17,122,Hueypuchtlan, ,Hueypoxtla,1, , ,0, , ,Acuña 1984;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.07836928,19.90709696
72,123,Huitzilopuchco, ,Churubusco,1, , ,0, , ,Acuña 1984;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,https://en.wikipedia.org/wiki/16th_century,-99.14611111,19.35416667
