FID,My_FID6,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,My_FID6,FID_Relat2,Type2,References,Type_URL,X,Y,Time_span
179,106,Calalpa, ,Calalpa,2, ,Estancia,6,Depends on,106,0, ,Acuña 1985;Toponimos250k, ,-98.84496793,18.85667595,https://en.wikipedia.org/wiki/16th_century
8,107,Calimayan, ,Calimaya,1, , ,0, ,107,0, ,Acuña 1985;Google Maps;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.61678797,19.16323659,https://en.wikipedia.org/wiki/16th_century
468,109,Calpulpan Yacanqui, , ,2,Ruinas Casas Reales,Barrio,136, ,109,0, ,Acuña 1985;Elson 1999, ,-98.9765,19.629,https://en.wikipedia.org/wiki/16th_century
144,110,Caltengo, ,Jaltenco,1, ,Barrio,676,Depends on,110,0, ,Acuña 1985;GeoNames_MX, ,-99.0939,19.75298,https://en.wikipedia.org/wiki/16th_century
402,111,Camotepeque,Camotepeq, ,2,¿Camotlan?,Estancia,513, ,111,0, ,Acuña 1985;GeoNames_MX, ,-99.8167,17.5667,https://en.wikipedia.org/wiki/16th_century
416,112,Camoxuchitlan, , ,2,Camoxitla,Estancia,157, ,112,0, ,Acuña 1985;Allocated by research, ,-99.68782,18.3397,https://en.wikipedia.org/wiki/16th_century
94,113,Campeche, ,Barrio de San Francisco,1, , ,0, ,113,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-90.52472222,19.85166667,https://en.wikipedia.org/wiki/16th_century
12,114,Capolalcolulco, ,Tehuehuetla,1, , ,0, ,114,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-100.4036111,17.82555556,https://en.wikipedia.org/wiki/16th_century
447,115,Capultenpan,Calpulteupan, ,2,Barrio de San Bartolomé Atlatlahuca,Barrio,77, ,115,0, ,Acuña 1985;Allocated by research, ,-99.6137,19.0704,https://en.wikipedia.org/wiki/16th_century
19,117,Cempoala, ,Zempoala,1,Congregación de Cempoala,Cabecera,0, ,117,0, ,Acuña 1985;Tanck de Estrada 2005: Atlas 1800, ,-98.66972222,19.915,https://en.wikipedia.org/wiki/16th_century
197,118,Cerro Gordo,Sierra Gorda, ,1, ,Hill,151,Near,118,0, ,Acuña 1985;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=710,-99.59898699,20.81446616,https://en.wikipedia.org/wiki/16th_century
495,119,Ceuctlan,Ceutilan;Ciutlan,Zeutla,2, ,Estancia,800,Depends on,119,0, ,Acuña 1985;Allocated by research, ,-99.89889,17.274772,https://en.wikipedia.org/wiki/16th_century
405,120,Chalchitepeque, , ,2,¿Chichiltepec?,Estancia,513, ,120,0, ,Acuña 1985;GeoNames_MX, ,-100.065,17.8075,https://en.wikipedia.org/wiki/16th_century
