FID,My_FID8,Placename,Alt_names,ModernName,Confidence,Notes,Type,FID_Relate,Relation,Start_Date,End_Date,References,Type_URL,X,Y,Time_span
45,71,Izquinquitlapilco, ,Ixcuinquitlapilco,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.93722222,20.10916667,https://en.wikipedia.org/wiki/16th_century
105,73,La Laguna, , ,1, ,Lake,164,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=596,-99.02290458,19.48152069,https://en.wikipedia.org/wiki/16th_century
106,74,La Florida, , ,1, , ,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-81.54681046,27.95827914,https://en.wikipedia.org/wiki/16th_century
100,76,Mar del Norte, , ,2, ,Sea,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-94.64480019,20.00849701,https://en.wikipedia.org/wiki/16th_century
99,77,Mar del Sur, , ,2, ,Sea,0, ,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=1015,-97.03376054,14.27338344,https://en.wikipedia.org/wiki/16th_century
85,78,Mazaapan, ,San Francisco Mazapa,1, , ,0, ,,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.833889,19.690833,https://en.wikipedia.org/wiki/16th_century
31,80,Metlatepec, ,Metlatepec,1, ,Sujeto,7,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.93638889,18.71833333,https://en.wikipedia.org/wiki/16th_century
102,84,Minas de Pachuca, ,Pachuca de Soto,1, ,Mining Camp,0, ,,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-98.736944,20.122222,https://en.wikipedia.org/wiki/16th_century
66,85,Minas de Temazcaltepec,Temazcaltepec,Real de Arriba,1, ,Mining Camp,0, ,,,Acuña 1986;Google Maps;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-100.0044688,19.04004243,https://en.wikipedia.org/wiki/16th_century
103,86,Minas de Tzacualpa,Tzacualpa, ,1, ,Mining Camp,0, ,,,Acuña 1986;Allocated by research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-99.79299459,18.7189456,https://en.wikipedia.org/wiki/16th_century
11,87,Minas de Zultepec,Zultepec,Sultepequito,1, ,Mining Camp,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=685,-100.0180556,18.80638889,https://en.wikipedia.org/wiki/16th_century
62,88,Minas de Zumpango,Zumpango,Zumpango Del Rio,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.52638889,17.65194444,https://en.wikipedia.org/wiki/16th_century
38,89,Mizquiyahuala,Mjsquiaguala,Mixquiahuala,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.21305556,20.23111111,https://en.wikipedia.org/wiki/16th_century
55,90,Muchitlan,Mochitlan,Mochitlan,1, ,Cabecera,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-99.36916667,17.47138889,https://en.wikipedia.org/wiki/16th_century
1,91,Nepopualco, ,Nepopualco,1, ,Sujeto,181,Depends on,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800, ,-98.94277778,18.99833333,https://en.wikipedia.org/wiki/16th_century
5,94,Antequera,Oaxaca;Guaxaca,Oaxaca De Juarez,1, , ,0, ,,,Acuña 1986;INEGI: MEX_topoloc,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-96.72190157,17.0605374,https://en.wikipedia.org/wiki/16th_century
39,96,Ohuapan, ,Oapan,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.43722222,17.95222222,https://en.wikipedia.org/wiki/16th_century
8,102,Puebla De Los Ángeles, ,Heroica Puebla de Zaragoza,1, , ,0, ,,,Acuña 1986;Atlas 2010,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.197222,19.043889,https://en.wikipedia.org/wiki/16th_century
69,103,Sierras de Meztitlan, ,Metztitlan,2, ,Mountain Range,0, ,,,Acuña 1986;Allocated by Research,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-98.78189192,20.56866748,https://en.wikipedia.org/wiki/16th_century
129,107,Quauhyacatl, ,Sierra La Purificación,1, ,Mountain Range,164,Near,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;GeoNames_MX,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=708,-98.8172,19.53169,https://en.wikipedia.org/wiki/16th_century
123,109,Amaixtlahuacan, ,San Cristobal,1, ,Sujeto,88,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;Vidal 2010, ,-99.93946,17.27575,https://en.wikipedia.org/wiki/16th_century
101,110,Xaltocan, ,Jaltocan,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-99.05027778,19.72305555,https://en.wikipedia.org/wiki/16th_century
124,111,San Agustín, ,San Agustín,1, ,Sujeto,18,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,Acuña 1986;GeoNames_MX, ,-99.08333,20.06667,https://en.wikipedia.org/wiki/16th_century
77,112,San Andrés Tepexititlan, ,San Andrés Tepetitlán,1, ,Sujeto,7,Depends on,,,Acuña 1986;Atlas 2010, ,-99.918611,18.898056,https://en.wikipedia.org/wiki/16th_century
115,113,San Felipe Huaxtepec, ,San Felipe Tepehuastitlán,2, ,Sujeto,174,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,"Acuña 1986;Relaciones de Minas de Zultepec, 1972", ,-100.232209,18.637254,https://en.wikipedia.org/wiki/16th_century
112,115,San Francisco Atiquixcan, ,San Francisco,2, ,Sujeto,174,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,"Acuña 1986;Relaciones de Minas de Zultepec, 1972", ,-100.277615,18.623087,https://en.wikipedia.org/wiki/16th_century
0,116,San Francisco Coaxuchco, ,San Francisco Coaxusco,1, ,Sujeto,7,Depends on,,,Acuña 1986;Google Maps;Google Earth;unikloc10gw, ,-99.926978,18.905601,https://en.wikipedia.org/wiki/16th_century
30,119,Teotihuacan,San Juan Teotihuacan;Mexico,Teotihuacan,1, , ,0, ,,,Acuña 1986;Tanck de Estrada 2005: Atlas 1800,https://www2.usgs.gov/science/records-matching.php?thcode=3&code=850,-98.86083333,19.68972222,https://en.wikipedia.org/wiki/16th_century
117,120,San Juan Tepetl Itlatlayan, ,San Juan Tetitlán,2, ,Sujeto,174,Depends on,30/12/1899 00:00:00,30/12/1899 00:00:00,"Acuña 1986;Relaciones de Minas de Zultepec, 1972", ,-100.19873,18.60927,https://en.wikipedia.org/wiki/16th_century
